,[Case folder],[DLC],[Windspeed],[case_id],[res_dir],[run_dir],[sim_id],[wdir],[wsp],absmax,channel,channel_desc,channel_name,channel_nr,channel_units,int,m=10.0,m=12.0,m=3.0,m=4.0,m=6.0,m=8.0,m=9.0,max,mean,min,neq,range,rms,std
0,dlc11_iec61400-1ed3,11,4,dlc11_wsp04_wdir000_s1001,res/dlc11_iec61400-1ed3/,/mnt/mimer/hawc2sim/iea15mw/NoFPM_notorsion_DLC11,NoFPM_notorsion_DLC11,0,4,700.0,Time,Time,Time,0,s,239998.74992187362,295.27323207288646,332.31027154861323,56.46098543782558,101.94053088552127,184.05402875345422,247.31163392504743,272.9046608621333,700.0,400.00000020833676,100.01249999999999,600.0,599.9875,435.88874766849733,173.2021944934345
1,dlc11_iec61400-1ed3,11,4,dlc11_wsp04_wdir000_s1001,res/dlc11_iec61400-1ed3/,/mnt/mimer/hawc2sim/iea15mw/NoFPM_notorsion_DLC11,NoFPM_notorsion_DLC11,0,4,360.0,bearing-shaft_rot-angle-deg,shaft_rot angle,bea1 angle,1,deg,107942.72429882907,280.5279198574201,292.4290873458372,156.96407615035142,193.1034842219571,237.6034689635973,263.5847496309374,272.8661847135872,360.0,179.90120891598212,0.0,600.0,360.0,207.75333879582752,103.90863684690581
2,dlc11_iec61400-1ed3,11,4,dlc11_wsp04_wdir000_s1001,res/dlc11_iec61400-1ed3/,/mnt/mimer/hawc2sim/iea15mw/NoFPM_notorsion_DLC11,NoFPM_notorsion_DLC11,0,4,5.061792,bearing-shaft_rot-angle_speed-rpm,shaft_rot angle speed,bea1 angle_speed,2,rpm,3002.7735952809453,0.06010413764740691,0.06521109844293758,0.032436676462498266,0.03794553969108214,0.04683739802719361,0.05404102189251995,0.05720088767952006,5.061792,5.00472662043633,4.951539843,600.0,0.11025215699999968,5.004752460736957,0.01608253555610416
3,dlc11_iec61400-1ed3,11,4,dlc11_wsp04_wdir000_s1001,res/dlc11_iec61400-1ed3/,/mnt/mimer/hawc2sim/iea15mw/NoFPM_notorsion_DLC11,NoFPM_notorsion_DLC11,0,4,3.6992320000000003,bearing-pitch1-angle-deg,pitch1 angle,bea2 angle,3,deg,1609.0587566086836,1.1526168143472255,1.2597527811102611,0.3408374744959126,0.5229714358152558,0.8093100494584335,1.0091255303425832,1.0864281208376272,3.6992320000000003,2.681811830761472,1.700606311,600.0,1.9986256890000003,2.771821884184795,0.7006296182976015
4,dlc11_iec61400-1ed3,11,4,dlc11_wsp04_wdir000_s1001,res/dlc11_iec61400-1ed3/,/mnt/mimer/hawc2sim/iea15mw/NoFPM_notorsion_DLC11,NoFPM_notorsion_DLC11,0,4,0.19292608,bearing-pitch1-angle_speed-deg/s,pitch1 angle speed,bea2 angle_speed,4,deg/s,1.0194787570117467,0.17450118623209493,0.19246781935158103,0.0542326216652193,0.07942842096569719,0.12064702215137672,0.1513192420648579,0.16368343018817821,0.19292608,0.0016991388561859448,-0.13762864232,600.0,0.33055472232,0.04840323431031507,0.048373401977188694
5,dlc11_iec61400-1ed3,11,4,dlc11_wsp04_wdir000_s1001,res/dlc11_iec61400-1ed3/,/mnt/mimer/hawc2sim/iea15mw/NoFPM_notorsion_DLC11,NoFPM_notorsion_DLC11,0,4,3.6992000000000003,bearing-pitch2-angle-deg,pitch2 angle,bea2 angle,5,deg,1609.0617574017667,1.1525401766372805,1.2596690199096268,0.3408148121477813,0.522936663345595,0.8092562382802051,1.009058433395246,1.08635588402643,3.6992000000000003,2.6818168387676713,1.7007072,600.0,1.9984928000000002,2.7718303295271256,0.7006438603092032
6,dlc11_iec61400-1ed3,11,4,dlc11_wsp04_wdir000_s1001,res/dlc11_iec61400-1ed3/,/mnt/mimer/hawc2sim/iea15mw/NoFPM_notorsion_DLC11,NoFPM_notorsion_DLC11,0,4,0.19292383999999999,bearing-pitch2-angle_speed-deg/s,pitch2 angle speed,bea2 angle_speed,6,deg/s,1.0194522813359066,0.17449279482722702,0.19245856396810143,0.054230013729449536,0.07942460141551112,0.12064122048302797,0.151311965432235,0.16367555898705613,0.19292383999999999,0.0016990907918933752,-0.13761498662,600.0,0.33053882662,0.04840076118695908,0.04837092901689418
7,dlc11_iec61400-1ed3,11,4,dlc11_wsp04_wdir000_s1001,res/dlc11_iec61400-1ed3/,/mnt/mimer/hawc2sim/iea15mw/NoFPM_notorsion_DLC11,NoFPM_notorsion_DLC11,0,4,3.6992000000000003,bearing-pitch3-angle-deg,pitch3 angle,bea2 angle,7,deg,1609.0566139242715,1.1525401766372805,1.2596690199096268,0.3408148121477813,0.522936663345595,0.8092562382802051,1.009058433395246,1.08635588402643,3.6992000000000003,2.681808228350832,1.7007072,600.0,1.9984928000000002,2.771821196370006,0.700640686083987
8,dlc11_iec61400-1ed3,11,4,dlc11_wsp04_wdir000_s1001,res/dlc11_iec61400-1ed3/,/mnt/mimer/hawc2sim/iea15mw/NoFPM_notorsion_DLC11,NoFPM_notorsion_DLC11,0,4,0.19292383999999999,bearing-pitch3-angle_speed-deg/s,pitch3 angle speed,bea2 angle_speed,8,deg/s,1.019478591701391,0.17448324683203345,0.19244803291181603,0.05422704634096253,0.07942025541536071,0.12063461916866164,0.15130368585874254,0.16366660289547622,0.19292383999999999,0.0016991315879269688,-0.13759690001,600.0,0.33052074001,0.04840143181941469,0.04837159862994698
9,dlc11_iec61400-1ed3,11,4,dlc11_wsp04_wdir000_s1001,res/dlc11_iec61400-1ed3/,/mnt/mimer/hawc2sim/iea15mw/NoFPM_notorsion_DLC11,NoFPM_notorsion_DLC11,0,4,0.5288672,Omega,Rotor speed,Omega,9,rad/s,314.4497421265054,0.005103089407007649,0.0055401408823796084,0.002585296343382035,0.0031082995975361787,0.00392989599345838,0.004575775061651943,0.004852176901361393,0.5288672,0.524093797301843,0.5194136988,600.0,0.009453501199999992,0.5240959466386782,0.0015009706271536943
